name,job_location,job_type,company_name,job_url,company_url
Machine Learning Engineer,"Cairo, Egypt ",Full Time,Block Gemini -,https://wuzzuf.net/jobs/p/dFX9BgcnLm4C-Machine-Learning-Engineer-Block-Gemini-Cairo-Egypt,https://wuzzuf.net/jobs/p/dFX9BgcnLm4C-Machine-Learning-Engineer-Block-Gemini-Cairo-Egypt
Senior Machine Learning Engineer,"Cairo, Egypt ",Full Time,Convertedin -,https://wuzzuf.net/jobs/p/88d2c9JQvKyC-Senior-Machine-Learning-Engineer-Convertedin-Aggregated-Cairo-Egypt,https://wuzzuf.net/jobs/p/88d2c9JQvKyC-Senior-Machine-Learning-Engineer-Convertedin-Aggregated-Cairo-Egypt
Machine Learning Software Engineer,"Cairo, Egypt ",Full Time,DigiSay -,https://wuzzuf.net/jobs/p/uOo7surO9Scf-Machine-Learning-Software-Engineer-DigiSay-Aggregated-Cairo-Egypt,https://wuzzuf.net/jobs/p/uOo7surO9Scf-Machine-Learning-Software-Engineer-DigiSay-Aggregated-Cairo-Egypt
Machine Learning Engineer,"Dubai, United Arab Emirates ",Full Time,Blackstone eIT -,https://wuzzuf.net/jobs/p/2TYSpFUXlRTe-Machine-Learning-Engineer-Blackstone-eIT-Aggregated-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/2TYSpFUXlRTe-Machine-Learning-Engineer-Blackstone-eIT-Aggregated-Dubai-United-Arab-Emirates
Machine Learning Engineer,"Cairo, Egypt ",Full Time,Convertedin -,https://wuzzuf.net/jobs/p/7ZNfO2FtHE3h-Machine-Learning-Engineer-Convertedin-Aggregated-Cairo-Egypt,https://wuzzuf.net/jobs/p/7ZNfO2FtHE3h-Machine-Learning-Engineer-Convertedin-Aggregated-Cairo-Egypt
Machine Learning Researcher,"Dokki, Giza, Egypt ",Full Time,RDI -,https://wuzzuf.net/jobs/p/GeNMHwjBsatD-Machine-Learning-Researcher-RDI-Giza-Egypt,https://wuzzuf.net/jobs/p/GeNMHwjBsatD-Machine-Learning-Researcher-RDI-Giza-Egypt
Learning & Development Supervisor,"Dubai, United Arab Emirates ",Full Time,"Marriott International, Inc. -",https://wuzzuf.net/jobs/p/4NeoeCIZA8Nw-Learning-Development-Supervisor-Marriott-International-Inc-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/4NeoeCIZA8Nw-Learning-Development-Supervisor-Marriott-International-Inc-Dubai-United-Arab-Emirates
"Learning & Development Coordinator Human Resources · JA The Resort, Dubai","Dubai, United Arab Emirates ",Full Time,JA Resorts & Hotels -,https://wuzzuf.net/jobs/p/0IW3c6tOvc7x-Learning-Development-Coordinator-Human-Resources-·-JA-The-Resort-Dubai-JA-Resorts-Hotels-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/0IW3c6tOvc7x-Learning-Development-Coordinator-Human-Resources-·-JA-The-Resort-Dubai-JA-Resorts-Hotels-Dubai-United-Arab-Emirates
Learning & Development Tower Lead | MAF Global Solutions,"Cairo, Egypt ",Full Time,MAJID AL FUTTAIM -,https://wuzzuf.net/jobs/p/NpQnVWmZiIK0-Learning-Development-Tower-Lead-MAF-Global-Solutions-MAJID-AL-FUTTAIM-Cairo-Egypt,https://wuzzuf.net/jobs/p/NpQnVWmZiIK0-Learning-Development-Tower-Lead-MAF-Global-Solutions-MAJID-AL-FUTTAIM-Cairo-Egypt
Senior Learning & Development Manager | MAF Global Solutions | HC,"Cairo, Egypt ",Full Time,MAJID AL FUTTAIM -,https://wuzzuf.net/jobs/p/gI3mgENjGikb-Senior-Learning-Development-Manager-MAF-Global-Solutions-HC-MAJID-AL-FUTTAIM-Cairo-Egypt,https://wuzzuf.net/jobs/p/gI3mgENjGikb-Senior-Learning-Development-Manager-MAF-Global-Solutions-HC-MAJID-AL-FUTTAIM-Cairo-Egypt
Senior Backend Developer with Machine Learning,"Cairo, Egypt ",Full TimeWork From Home,Simply nikah -,https://wuzzuf.net/jobs/p/T98ubaqQlYqP-Senior-Backend-Developer-with-Machine-Learning-Simply-nikah-Cairo-Egypt,https://wuzzuf.net/jobs/p/T98ubaqQlYqP-Senior-Backend-Developer-with-Machine-Learning-Simply-nikah-Cairo-Egypt
Learning & Development Manager - Pre-Opening,"Medina, Saudi Arabia ",Full Time,Al Manakha Rotana -,https://wuzzuf.net/jobs/p/AeqjLnxp9ZG8-Learning-Development-Manager---Pre-Opening-Al-Manakha-Rotana-Medina-Saudi-Arabia,https://wuzzuf.net/jobs/p/AeqjLnxp9ZG8-Learning-Development-Manager---Pre-Opening-Al-Manakha-Rotana-Medina-Saudi-Arabia
Learning & Development Manager,"Cairo, Egypt ",Full Time,Hilton -,https://wuzzuf.net/jobs/p/VVtaP9OeHiqh-Learning-Development-Manager-Hilton-Aggregated-Cairo-Egypt,https://wuzzuf.net/jobs/p/VVtaP9OeHiqh-Learning-Development-Manager-Hilton-Aggregated-Cairo-Egypt
Data Scientist,"Abu Dhabi, United Arab Emirates ",Full Time,Atribs Metscon -,https://wuzzuf.net/jobs/p/H8MX6JFuRlAd-Data-Scientist-Atribs-Metscon-Abu-Dhabi-United-Arab-Emirates,https://wuzzuf.net/jobs/p/H8MX6JFuRlAd-Data-Scientist-Atribs-Metscon-Abu-Dhabi-United-Arab-Emirates
AI Engineer,"Cairo, Egypt ",Full Time,Ewa  -,https://wuzzuf.net/jobs/p/IUYiEB8jWm8w-AI-Engineer-Ewa-Cairo-Egypt,https://wuzzuf.net/jobs/p/IUYiEB8jWm8w-AI-Engineer-Ewa-Cairo-Egypt
Applied Scientist II,"Cairo, Egypt ",Full Time,Microsoft -,https://wuzzuf.net/jobs/p/dmF09kimTFzM-Applied-Scientist-II-Microsoft-Cairo-Egypt,https://wuzzuf.net/jobs/p/dmF09kimTFzM-Applied-Scientist-II-Microsoft-Cairo-Egypt
Applied Scientist,"Cairo, Egypt ",Full Time,Microsoft -,https://wuzzuf.net/jobs/p/znVFe6x7WL9I-Applied-Scientist-Microsoft-Cairo-Egypt,https://wuzzuf.net/jobs/p/znVFe6x7WL9I-Applied-Scientist-Microsoft-Cairo-Egypt
Second Level Technical Support Engineer,"Maadi, Cairo, Egypt ",Full TimeWork From Home,3D Diagnostix -,https://wuzzuf.net/jobs/p/cK4JOajgKKPa-Second-Level-Technical-Support-Engineer-3D-Diagnostix-Cairo-Egypt,https://wuzzuf.net/jobs/p/cK4JOajgKKPa-Second-Level-Technical-Support-Engineer-3D-Diagnostix-Cairo-Egypt
Senior Backend Developer for Flutter App,"Cairo, Egypt ",Full TimeWork From Home,Give Brite -,https://wuzzuf.net/jobs/p/bzWlAsjB7Dbz-Senior-Backend-Developer-for-Flutter-App-Give-Brite-Cairo-Egypt,https://wuzzuf.net/jobs/p/bzWlAsjB7Dbz-Senior-Backend-Developer-for-Flutter-App-Give-Brite-Cairo-Egypt
ML & Data Analytics Senior Specialist,"Cairo, Egypt ",Full Time,Vodafone - Egypt -,https://wuzzuf.net/jobs/p/mWJtYYF0H69H-ML-Data-Analytics-Senior-Specialist-Vodafone---Egypt-Cairo-Egypt,https://wuzzuf.net/jobs/p/mWJtYYF0H69H-ML-Data-Analytics-Senior-Specialist-Vodafone---Egypt-Cairo-Egypt
Data Scientist,"Doha, Qatar ",Full Time,Vistas Global -,https://wuzzuf.net/jobs/p/gacMYmJhiwmr-Data-Scientist-Vistas-Global-Doha-Qatar,https://wuzzuf.net/jobs/p/gacMYmJhiwmr-Data-Scientist-Vistas-Global-Doha-Qatar
AI Engineer,"Dubai, United Arab Emirates ",Full Time,Arqitek Advisory DMCC -,https://wuzzuf.net/jobs/p/k2qSq81jgRzs-AI-Engineer-Arqitek-Advisory-DMCC-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/k2qSq81jgRzs-AI-Engineer-Arqitek-Advisory-DMCC-Dubai-United-Arab-Emirates
Junior Data Scientist,"Cairo, Egypt ",Full Time,Cultiv -,https://wuzzuf.net/jobs/p/zqp8h57Qt0vc-Junior-Data-Scientist-Cultiv-Cairo-Egypt,https://wuzzuf.net/jobs/p/zqp8h57Qt0vc-Junior-Data-Scientist-Cultiv-Cairo-Egypt
Senior Data Scientist,"Cairo, Egypt ",Full Time,Teradata -,https://wuzzuf.net/jobs/p/LmU8pRfxK2rv-Senior-Data-Scientist-Teradata-Aggregated-Cairo-Egypt,https://wuzzuf.net/jobs/p/LmU8pRfxK2rv-Senior-Data-Scientist-Teradata-Aggregated-Cairo-Egypt
Senior AI Engineer (Computer Vision Focus),"Sheikh Zayed, Giza, Egypt ",Full Time,Lumin -,https://wuzzuf.net/jobs/p/Bz1GQHFDxHEj-Senior-AI-Engineer-Computer-Vision-Focus-Lumin-Giza-Egypt,https://wuzzuf.net/jobs/p/Bz1GQHFDxHEj-Senior-AI-Engineer-Computer-Vision-Focus-Lumin-Giza-Egypt
Data Scientist,"Abu Dhabi, United Arab Emirates ",Full Time,Etihad Airways -,https://wuzzuf.net/jobs/p/sBzMg9lQbgcF-Data-Scientist-Etihad-Airways-Abu-Dhabi-United-Arab-Emirates,https://wuzzuf.net/jobs/p/sBzMg9lQbgcF-Data-Scientist-Etihad-Airways-Abu-Dhabi-United-Arab-Emirates
AI Engineer,"Riyadh, Saudi Arabia ",Full Time,Lucidya -,https://wuzzuf.net/jobs/p/dEcHZZYBpfdG-AI-Engineer-Lucidya-Aggregated-Riyadh-Saudi-Arabia,https://wuzzuf.net/jobs/p/dEcHZZYBpfdG-AI-Engineer-Lucidya-Aggregated-Riyadh-Saudi-Arabia
